GEOID,county,state,state_abbr,ALAND,year,scenario,scenario_label,data_type,observed_temp_2025_f,observed_temp_2025_c,projected_temp_c,temp_change_from_2025_c,rank_within_scenario
06027,Inyo,California,CA,26410783052,2036,ssp245,Medium emissions (SSP245),projected,63.04166666666668,17.245370370370377,11.6135835647583,-5.631786805612077,3117
06027,Inyo,California,CA,26410783052,2036,ssp585,High emissions (SSP585),projected,63.04166666666668,17.245370370370377,9.754318237304688,-7.49105213306569,3117
06029,Kern,California,CA,21068706348,2036,ssp126,Low emissions (SSP126),projected,63.65,17.583333333333332,13.995068550109863,-3.588264783223469,3038
06029,Kern,California,CA,21068706348,2036,ssp245,Medium emissions (SSP245),projected,63.65,17.583333333333332,14.445625305175781,-3.137708028157551,3012
06029,Kern,California,CA,21068706348,2036,ssp585,High emissions (SSP585),projected,63.65,17.583333333333332,12.369458198547363,-5.213875134785969,3091
06031,Kings,California,CA,3602601926,2036,ssp126,Low emissions (SSP126),projected,65.375,18.541666666666668,13.443916320800781,-5.097750345865887,3104
06031,Kings,California,CA,3602601926,2036,ssp245,Medium emissions (SSP245),projected,65.375,18.541666666666668,13.735095024108887,-4.806571642557781,3106
06031,Kings,California,CA,3602601926,2036,ssp585,High emissions (SSP585),projected,65.375,18.541666666666668,11.789690971374512,-6.751975695292156,3111
06033,Lake,California,CA,3250693464,2036,ssp126,Low emissions (SSP126),projected,58.5,14.722222222222221,12.80463695526123,-1.917585266960991,1942
06033,Lake,California,CA,3250693464,2036,ssp245,Medium emissions (SSP245),projected,58.5,14.722222222222221,12.962061882019043,-1.7601603402031785,2268
06033,Lake,California,CA,3250693464,2036,ssp585,High emissions (SSP585),projected,58.5,14.722222222222221,12.070940971374512,-2.6512812508477097,2798
06035,Lassen,California,CA,11762090640,2036,ssp126,Low emissions (SSP126),projected,49.675000000000004,9.819444444444448,7.625093936920166,-2.194350507524282,2273
06035,Lassen,California,CA,11762090640,2036,ssp245,Medium emissions (SSP245),projected,49.675000000000004,9.819444444444448,7.9759955406188965,-1.8434489038255517,2350
06035,Lassen,California,CA,11762090640,2036,ssp585,High emissions (SSP585),projected,49.675000000000004,9.819444444444448,6.288838863372803,-3.5306055810716455,2980
06037,Los Angeles,California,CA,10516008433,2036,ssp126,Low emissions (SSP126),projected,63.15,17.305555555555557,15.701362609863281,-1.6041929456922759,1573
06037,Los Angeles,California,CA,10516008433,2036,ssp245,Medium emissions (SSP245),projected,63.15,17.305555555555557,16.384836196899414,-0.9207193586561431,1556
06037,Los Angeles,California,CA,10516008433,2036,ssp585,High emissions (SSP585),projected,63.15,17.305555555555557,14.391441345214844,-2.9141142103407134,2888
06039,Madera,California,CA,5534050367,2036,ssp126,Low emissions (SSP126),projected,57.80000000000001,14.33333333333334,8.63250732421875,-5.700826009114589,3115
06039,Madera,California,CA,5534050367,2036,ssp245,Medium emissions (SSP245),projected,57.80000000000001,14.33333333333334,8.779040336608887,-5.5542929967244525,3116
06039,Madera,California,CA,5534050367,2036,ssp585,High emissions (SSP585),projected,57.80000000000001,14.33333333333334,7.128298282623291,-7.205035050710048,3116
06041,Marin,California,CA,1347158037,2036,ssp126,Low emissions (SSP126),projected,56.699999999999996,13.72222222222222,14.671104431152344,0.9488822089301241,111
06041,Marin,California,CA,1347158037,2036,ssp245,Medium emissions (SSP245),projected,56.699999999999996,13.72222222222222,14.595993041992188,0.8737708197699678,367
06041,Marin,California,CA,1347158037,2036,ssp585,High emissions (SSP585),projected,56.699999999999996,13.72222222222222,13.998774528503418,0.2765523062811983,367
06043,Mariposa,California,CA,3752476985,2036,ssp126,Low emissions (SSP126),projected,57.166666666666664,13.98148148148148,8.63250732421875,-5.348974157262729,3107
